blockNumber,transactionHash,event,args,timestamp
23741467,0x226793d2cbc8e772ded3f130fffb817324b994371858765002c1d40ae2360405,Supply,"[""0xDa2a6295A6223e15D2E1Bb3F03539bE74c376580"",""0xDa2a6295A6223e15D2E1Bb3F03539bE74c376580"",{""type"":""BigNumber"",""hex"":""0x06fb92b097""}]",2025-11-06T16:35:47.000Z
23741813,0x61338ed65a9522b7023720872372d4645d24d5983e31b627bdfd466591a218c9,Supply,"[""0x73be9526629E0C615CE22603e9Efd2f3eF9b523a"",""0x73be9526629E0C615CE22603e9Efd2f3eF9b523a"",{""type"":""BigNumber"",""hex"":""0x02faf080""}]",2025-11-06T17:45:11.000Z
23741876,0x47ac4c0ab505fd82f3b57041f272f3a8a781e01c14c3ad10774e4455b76912bc,Supply,"[""0x29495037692b88431De19a82d3c421705D588451"",""0x29495037692b88431De19a82d3c421705D588451"",{""type"":""BigNumber"",""hex"":""0x012b371f00""}]",2025-11-06T17:57:47.000Z
23741893,0x9e79488985b1530640033807c0960cfefe7d618c22469aa683df7714c96302d7,Supply,"[""0xae6419516E7E7F1152f8988691FfFacBe1cb23fE"",""0xae6419516E7E7F1152f8988691FfFacBe1cb23fE"",{""type"":""BigNumber"",""hex"":""0x012b742800""}]",2025-11-06T18:01:11.000Z
23742299,0xadf22928a9aa89b96ab7f4481830ed3c715135f760112ab7cb4bcc9903e62e27,Supply,"[""0x929a3ad5785c0Ff21Cf4E64001CE4f029Ba2CC38"",""0x929a3ad5785c0Ff21Cf4E64001CE4f029Ba2CC38"",{""type"":""BigNumber"",""hex"":""0x4e24e3a9f0""}]",2025-11-06T19:22:35.000Z
23742557,0x5e8be09dc68c291e351adc169c795edd25bad4c7c1fdd93ef3482db0a6e15c76,Supply,"[""0xE86F331FB370c5Bbff0f7C81B29D64fA58e0c9c9"",""0xE86F331FB370c5Bbff0f7C81B29D64fA58e0c9c9"",{""type"":""BigNumber"",""hex"":""0x4c4b40""}]",2025-11-06T20:14:23.000Z
23743020,0xe03fd5e18f08ff1d4b955effec66e0d08a388ed2efd595fe9e624f2867e08649,Supply,"[""0xFdB64A17B8aF6cAD8d56683c308eE4c175D814eF"",""0xFdB64A17B8aF6cAD8d56683c308eE4c175D814eF"",{""type"":""BigNumber"",""hex"":""0x025317c0""}]",2025-11-06T21:47:59.000Z
23743281,0xe69816a93cf38c0981b2c7f70894cb83177fca695eba3b8cb970cd3726686e7d,Supply,"[""0xa96327546bd62Ef51AF9d60803Fa1b2d277AaD5B"",""0xa96327546bd62Ef51AF9d60803Fa1b2d277AaD5B"",{""type"":""BigNumber"",""hex"":""0x0b909bf552""}]",2025-11-06T22:40:11.000Z
23745628,0xd3afdbbacc894d16c2e1bde34d4bea39d6989465f9b48bf824033bbdaf2a0a27,Supply,"[""0x577131D5D42b0863946A8A4ce9290C8154616bec"",""0x577131D5D42b0863946A8A4ce9290C8154616bec"",{""type"":""BigNumber"",""hex"":""0x04ce751e6a""}]",2025-11-07T06:32:47.000Z
23745629,0x9e39baa442cee7dffd65205cf442149c6c6f5aef2d55c04aeccbf1a0e34ae427,Supply,"[""0xAAcAEe58e332E214Ce819E1ACeC12ce486649973"",""0xAAcAEe58e332E214Ce819E1ACeC12ce486649973"",{""type"":""BigNumber"",""hex"":""0x0796e0a340""}]",2025-11-07T06:32:59.000Z
23746990,0xf308c3e17d5616aa14b3d3a28d718a08b2908925c85d7d91a442e22e2bd005b3,Supply,"[""0x335bd1a80f7bA99e705c9B673be417A40e20f780"",""0x335bd1a80f7bA99e705c9B673be417A40e20f780"",{""type"":""BigNumber"",""hex"":""0x2b605875a0""}]",2025-11-07T11:07:11.000Z
23747265,0xbae92d43ddb6fd71821eae8e9030cb415d1830dd0c39e4cbbad8c52710dc414e,Supply,"[""0xF6cc4859402d13e827405A98F24B13553912B4B5"",""0xF6cc4859402d13e827405A98F24B13553912B4B5"",{""type"":""BigNumber"",""hex"":""0x5658a768""}]",2025-11-07T12:03:11.000Z
23747274,0xdd083e9a8dc674a1614ae17d0cf5f548b63f89d2a29cb980892b02c528c36cfd,Supply,"[""0xF6cc4859402d13e827405A98F24B13553912B4B5"",""0xF6cc4859402d13e827405A98F24B13553912B4B5"",{""type"":""BigNumber"",""hex"":""0x64""}]",2025-11-07T12:05:11.000Z
23747435,0x331999b0e71276d5aae727233c0f2f485af0d8bf0153c1dd49d43a856f302f4e,Supply,"[""0xd95C3b0e443A4C6454Ed0f1D23C94C19832868bb"",""0xd95C3b0e443A4C6454Ed0f1D23C94C19832868bb"",{""type"":""BigNumber"",""hex"":""0x02540be400""}]",2025-11-07T12:37:23.000Z
23748695,0xc612d4734cee801ebd4865dc05a56783cf720ef135a05cec8c7c797c545807ce,Supply,"[""0x726e3244e2a73405Ce13d82862D81E1c5DD0004E"",""0x726e3244e2a73405Ce13d82862D81E1c5DD0004E"",{""type"":""BigNumber"",""hex"":""0x04a846d1c7""}]",2025-11-07T16:50:47.000Z
23749083,0xc1fecbc0c5315e64e2eda08f79f32a061f87f60dc3337c484107e9034494de95,Supply,"[""0xccaAAE783d71DD2Ed9b4E7E3443c2853f8572C85"",""0xccaAAE783d71DD2Ed9b4E7E3443c2853f8572C85"",{""type"":""BigNumber"",""hex"":""0x17d78400""}]",2025-11-07T18:09:47.000Z
23749503,0xc7c00d5dae8e3cb30ee7c11cb827975de1cfd59c10aebbc7317641685ab7691d,Supply,"[""0x5f8E50bE79880B16bD75EBDAb8638170511A0b5f"",""0x5f8E50bE79880B16bD75EBDAb8638170511A0b5f"",{""type"":""BigNumber"",""hex"":""0x0ba5931011""}]",2025-11-07T19:33:59.000Z
23749759,0xbc29cbb262b77e963edc2c4e865c16acb3d23d07e232235921649d88e2beb595,Supply,"[""0x9F0131004eB1a3ed459Bed41bcBABBCED5804eaD"",""0x9F0131004eB1a3ed459Bed41bcBABBCED5804eaD"",{""type"":""BigNumber"",""hex"":""0x05f5e100""}]",2025-11-07T20:25:23.000Z
23750004,0x41632fca37d0fe2d8b7e2d6b4690402e045f1a5998ddf4d0fa560806cf491a63,Supply,"[""0x0ceBff0D6c2cFB8dE1152dD2846223987047d4B4"",""0x0ceBff0D6c2cFB8dE1152dD2846223987047d4B4"",{""type"":""BigNumber"",""hex"":""0xb30d2495""}]",2025-11-07T21:14:35.000Z
23750067,0xe8724076aa623e68816e8cfb486ab0ddea70749bf89d19428155f9b2f215a0da,Supply,"[""0x96E1fA3653f8c44D50FC18C8Fe83af6dD8C83b9f"",""0xB63fb619Dd0057d4B693249032f5086D2053D1F4"",{""type"":""BigNumber"",""hex"":""0x04d35a3494""}]",2025-11-07T21:27:11.000Z
23748876,0xd224c11cff8c290072b3f209c5f20817705f6cfacc50adeadafd2b06e12d7f87,Withdraw,"[""0xAc7D8A964572f0a1781d243d9b61b67F6a1A1Be6"",""0xAc7D8A964572f0a1781d243d9b61b67F6a1A1Be6"",{""type"":""BigNumber"",""hex"":""0x22ecb25c00""}]",2025-11-07T17:27:47.000Z
23748887,0x4e7082865bd2f0e39e56b6cb9800f1e8ee8c91c845873f095e2f56b9fbe3e79d,Withdraw,"[""0x3c9Ea5C4Fec2A77E23Dd82539f4414266Fe8f757"",""0x3c9Ea5C4Fec2A77E23Dd82539f4414266Fe8f757"",{""type"":""BigNumber"",""hex"":""0x01d1a94a2000""}]",2025-11-07T17:29:59.000Z
23748889,0xeaa40adc7fba55baf3eac8f2a3cfe545e61543f951edcafeb0f9e7310af7602b,Withdraw,"[""0xa96327546bd62Ef51AF9d60803Fa1b2d277AaD5B"",""0xa96327546bd62Ef51AF9d60803Fa1b2d277AaD5B"",{""type"":""BigNumber"",""hex"":""0x1405ffdc00""}]",2025-11-07T17:30:23.000Z
23748922,0x6b8846fdc86a07a322c515953e026338f054cf2b2e11b50e4f7b21b4c3513d48,Withdraw,"[""0x6B479C5c1104d5fd67BcD0d00ae1d32a8AeE0626"",""0x6B479C5c1104d5fd67BcD0d00ae1d32a8AeE0626"",{""type"":""BigNumber"",""hex"":""0x1bf08eb000""}]",2025-11-07T17:36:59.000Z
23748926,0xdee371f1338eca309759b0756af9adf35473ca702a895bb112156f3729a3f4d0,Withdraw,"[""0x8adD2c7cB5665E390e19EeC2b741087Fd57c7800"",""0x8adD2c7cB5665E390e19EeC2b741087Fd57c7800"",{""type"":""BigNumber"",""hex"":""0x3b9aca00""}]",2025-11-07T17:37:47.000Z
23748943,0x2b7ef6ca814defceeb78944ed590d88e9b5d69fdf9faac14a51cdfd63942ce93,Withdraw,"[""0xE5cbe4bD173221A13dFC50a798d110124Ad3BFde"",""0xE5cbe4bD173221A13dFC50a798d110124Ad3BFde"",{""type"":""BigNumber"",""hex"":""0x02cb417800""}]",2025-11-07T17:41:11.000Z
23748963,0xbae3d7ded941a94e0eabcbd91f23cd05ccff800fb971adbbf510eea5110bea32,Withdraw,"[""0xDA65546c1A389cFF6A40219D6120eC55D1E11d21"",""0xDA65546c1A389cFF6A40219D6120eC55D1E11d21"",{""type"":""BigNumber"",""hex"":""0x0ba714e154""}]",2025-11-07T17:45:11.000Z
23748994,0x4053166eee63bf733765dbb56de654ed0f6f622f70c55f765eab6ac60b70ba61,Withdraw,"[""0x4C5661e9AB1C452515e109140Ae76da28029d84f"",""0x4C5661e9AB1C452515e109140Ae76da28029d84f"",{""type"":""BigNumber"",""hex"":""0x011b2a6af1c9""}]",2025-11-07T17:51:35.000Z
23749001,0x2f43bcbbfb984fd6f42a0af9c62aac721ee3c5a64aeacbcb051a6274f19de902,Withdraw,"[""0x73be9526629E0C615CE22603e9Efd2f3eF9b523a"",""0x73be9526629E0C615CE22603e9Efd2f3eF9b523a"",{""type"":""BigNumber"",""hex"":""0x02d3108854""}]",2025-11-07T17:52:59.000Z
