blockNumber,transactionHash,timestamp,caller,liquidator,gasUsed,borrower,basePaidOut,basePaidOutUsdValue,collateralAbsorbedAssets,collateralAbsorbedAmounts,collateralAbsorbedUsdValues,buyCollateralBuyers,buyCollateralAssets,buyCollateralBaseAmounts,buyCollateralCollateralAmounts
23741068,0x0e636f4c5b6f6285b0a7189b8ef1c85e5f5ba14d3d3676a421dbe652e58edd5b,2025-11-06T15:14:59.000Z,0xfc9928F6590D853752824B0B403A6AE36785e535,0x81463B0f960f247f704377661ec81C1fd65b5128,2240003,0x1597E4B7cF6D2877A1d690b6088668afDb045763,3191234991296,319053291959791,0x15700B564Ca08D9439C58cA5053166E8317aa138,3640000000000000000000000,188663966400000,0x81463B0f960f247f704377661ec81C1fd65b5128,0x15700B564Ca08D9439C58cA5053166E8317aa138,1217954396,2407121898474070944288
23741744,0xb20ebba3734f7f75f790a7857f849b1017ce37b43bc318e802c8797f80d0cd90,2025-11-06T17:31:11.000Z,0xfc9928F6590D853752824B0B403A6AE36785e535,0x00000000009E50a7dDb7a7B0e2ee6604fd120E49,1336387,0xA65e4B8AF4d325838D68FD9dDf925eA3Ca96f167,1333305734201,133301240693947,0x15700B564Ca08D9439C58cA5053166E8317aa138,1522499999998818611194456,11884552784990,0x00000000009E50a7dDb7a7B0e2ee6604fd120E49,0x15700B564Ca08D9439C58cA5053166E8317aa138,168533242,2211641224601938176854
23741858,0xda1bcbe1dc704831dcb0654e6d10a9203b7d489f8b45a8221b7c4123fba13d5c,2025-11-06T17:54:11.000Z,0x03C558AEe40a9FcED1CaBE9B465Bae8096E05230,0x36331E299247E5D0D3261e1d9852f6E0cFFEe95C,1568571,0x7FD2f0ff55045451232cFfd5293AA728880c79B4,2178407060784,217792781123062,0x5C5b196aBE0d54485975D1Ec29617D42D9198326|0x15700B564Ca08D9439C58cA5053166E8317aa138,1029213262209256054938329|1380205592014405937231603,6616262462861|8287764684947,0x36331E299247E5D0D3261e1d9852f6E0cFFEe95C|0x36331E299247E5D0D3261e1d9852f6E0cFFEe95C,0x15700B564Ca08D9439C58cA5053166E8317aa138|0x15700B564Ca08D9439C58cA5053166E8317aa138,210188436|179667020,3585666128454029933361|3064992348172155223220
23743167,0xbba06f9504d50170fb826565c9ba885099e1df7d49837deca4de7e9f312bcfcb,2025-11-06T22:17:23.000Z,0xfc9928F6590D853752824B0B403A6AE36785e535,0x00000000009E50a7dDb7a7B0e2ee6604fd120E49,1792247,0x21933a31efa8CdbFa714Cbb524063de36bB8b37d,2972759736993,297210572985086,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,3181228963091288731269185,4366977978191,0x00000000009E50a7dDb7a7B0e2ee6604fd120E49,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,218915998,16336017328160371760585
23741069,0xab3612a001f0c080b9c0ba8fc8c5dd0e1df38b81ed8a6f10010b9d000b82ee12,2025-11-06T15:15:11.000Z,0x276BF434613BD8CB5c8B3282Ec6445c9370e33FA,,1066510,,0,0,,,,0x828AE1566824A9835Acb6F565E1E9eA22BfB883A|0x828AE1566824A9835Acb6F565E1E9eA22BfB883A,0x15700B564Ca08D9439C58cA5053166E8317aa138|0x15700B564Ca08D9439C58cA5053166E8317aa138,876109499|4270619227,1731511760563527010325|8440300470294545688095
23741069,0xb45d1c6334068ef977540e8e83a30c50c9e0fc096b64603ad7a639bb925c14b4,2025-11-06T15:15:11.000Z,0x07De4e70Ff80bc47546ef7c5D081a4a1FF8bD98E,,1019158,,0,0,,,,0xbD32122bAD41A09f2405Bb374A83877d8245079C,0x15700B564Ca08D9439C58cA5053166E8317aa138,4097430679,8098016762608229522863
23741261,0xba0891b277e18f1b635194552aeef989416aa3fb27b72a6ae5a4cd5073e40c8b,2025-11-06T15:53:59.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,873588,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748|0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138|0x15700B564Ca08D9439C58cA5053166E8317aa138,383691139|78332845,4367940956737874849527|891741317834550399188
23741380,0x940fc2b535393557424562c662354b8438191c4dc42997913ebe33b514ff59a9,2025-11-06T16:18:23.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,545515,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138,331596731,4669645631281367309388
23741383,0x9df3b09e705176f373df856be5fcaf6b78fd2ef3ce65dafdd9d4eb60f5bce051,2025-11-06T16:18:59.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,545532,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138,284758656,4010057668391048501813
23741390,0x881bc3b16007bb867d1f9c682a05a2ba3913f2f2df948e0e3ea8f6351c9239eb,2025-11-06T16:20:23.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,825595,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748|0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138|0x15700B564Ca08D9439C58cA5053166E8317aa138,383895780|83318792,5442416142093067675256|1181194381768131835876
23741470,0xb97f9a17b9d74da67dee891e9008a4c7236e90ebd6d227037bb02ff060fcda2d,2025-11-06T16:36:23.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,896138,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387|0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138|0x15700B564Ca08D9439C58cA5053166E8317aa138,1574338194|234600051,22679860433082681632186|3379640051008048654460
23741475,0x35e83dbaf37d7e33660efc5b28ee9e5c0383a9dcc4b2882adfbe3a0197361871,2025-11-06T16:37:23.000Z,0x0b4e49d09a8AE348a51559F3d32002341657D4c5,,888961,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,205805521,2901525284252545776597
23741509,0x1a06b792ba6fb26f4f61b369197f3245ce6b7ace60de1ecb600bc2aa370c0b87,2025-11-06T16:44:11.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,821032,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,312244685,4606821263861002014938
23741660,0xe95d8e12eb52cd52daa2ee11ead03bcde2a4c2fa86e06fc2b4c98e4d027f47f6,2025-11-06T17:14:23.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1958388,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,494116260,7236146936985842270228
23741684,0x4d578abf48d1c0d7f7e2dcba3a99ff12258be310ad09927b2471522e340fbc65,2025-11-06T17:19:11.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,1303905,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138,254007815,3246325566849253779041
23741686,0x1cdb070ad0f29436130388794b986d37d5f794bfe367a974838171c90fa9a908,2025-11-06T17:19:35.000Z,0x9c4Ebb54625b1E93E987E287fa832BD2e0a854b7,,1060630,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,315485831,3888092186588876000478
23741724,0xea8784f3a22a48fb2d7db9a54f50279a11bddb436c43ea27a27c7920c764e9ea,2025-11-06T17:27:11.000Z,0xFDe0d1575Ed8E06FBf36256bcdfA1F359281455A,,942085,,0,0,,,,0x80BF7Db69556D9521c03461978B8fC731DBBD4e4,0x15700B564Ca08D9439C58cA5053166E8317aa138,492771050,6410336640005433650456
23741725,0x9840876702c9ad515e6a7972eac5be814e65df4129ffda0443385b621456747e,2025-11-06T17:27:23.000Z,0x276BF434613BD8CB5c8B3282Ec6445c9370e33FA,,769444,,0,0,,,,0x828AE1566824A9835Acb6F565E1E9eA22BfB883A,0x15700B564Ca08D9439C58cA5053166E8317aa138,109294201,1421781213020567069606
23741755,0x98ad4bdea01f56633c1c75008da6c8af56be491df3508722a9cda880215aa815,2025-11-06T17:33:35.000Z,0xFDe0d1575Ed8E06FBf36256bcdfA1F359281455A,,1127959,,0,0,,,,0x80BF7Db69556D9521c03461978B8fC731DBBD4e4,0x15700B564Ca08D9439C58cA5053166E8317aa138,1235650110,16195429161197302969188
23741795,0x55b3226da5327e7dedea7f250a1dba19ed5e5737767392016694c40d13fd6915,2025-11-06T17:41:35.000Z,0x276BF434613BD8CB5c8B3282Ec6445c9370e33FA,,769444,,0,0,,,,0x828AE1566824A9835Acb6F565E1E9eA22BfB883A,0x15700B564Ca08D9439C58cA5053166E8317aa138,85350898,1115138134286058166344
23741852,0x6c300e03600961d69a317a04a4642b74f2a2f4bfb25d3c50b0499ed8a20746a6,2025-11-06T17:52:59.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,768785,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138,145687901,2375022802104219935400
23741854,0x403e8dbeacfa86f446b7ddf42de857477d75b21a532990cb8913c8a83f9d38de,2025-11-06T17:53:23.000Z,0x7b26efB006249371B88BbBa20dDbB47e51D76645,,998200,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,531183770,8857838258748390028031
23741868,0x3b2bb542c13328421697cd7131889d2ccebb92db0c57c913ef11b37485130b76,2025-11-06T17:56:11.000Z,0x276BF434613BD8CB5c8B3282Ec6445c9370e33FA,,768768,,0,0,,,,0x828AE1566824A9835Acb6F565E1E9eA22BfB883A,0x15700B564Ca08D9439C58cA5053166E8317aa138,84914961,1369202302434399997806
23741877,0x049af6235ff2cc86dec2c0d793996dfe3e74750436f8287e3791006e05c66cb0,2025-11-06T17:57:59.000Z,0x276BF434613BD8CB5c8B3282Ec6445c9370e33FA,,769445,,0,0,,,,0x828AE1566824A9835Acb6F565E1E9eA22BfB883A,0x15700B564Ca08D9439C58cA5053166E8317aa138,57372076,905095854023186201259
23742074,0xa14f275ae9d82ff0738b22ebec1bc9ff659005e184f9aa9c0a2a91213eacef09,2025-11-06T18:37:35.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,597335,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138,98051394,1946434585112041806226
23742143,0x3fce60444701941b063cae67db85288c9d76dcf6935eb6a37c7860bec1bf140c,2025-11-06T18:51:23.000Z,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,,2799090,,0,0,,,,0x1f2F10D1C40777AE1Da742455c65828FF36Df387|0x1f2F10D1C40777AE1Da742455c65828FF36Df387|0x1f2F10D1C40777AE1Da742455c65828FF36Df387|0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x15700B564Ca08D9439C58cA5053166E8317aa138|0x15700B564Ca08D9439C58cA5053166E8317aa138|0x15700B564Ca08D9439C58cA5053166E8317aa138|0x15700B564Ca08D9439C58cA5053166E8317aa138,8567723|458356394|295421381|184953630,174348188847936847555|9327286507835436298000|6011653589209910556833|3763698991126514940574
23742449,0x0fb5ad88960bf0bce9be541128ebca85bbf229d4b9e92a78658f4e44cb0148fb,2025-11-06T19:52:47.000Z,0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,,1099182,,0,0,,,,0x42E213a3ad048e899B89ea8CB11d21bc97b84748,0x15700B564Ca08D9439C58cA5053166E8317aa138,91050399,2536145934987110368289
23742451,0x34cfa808d7e0b1c588df96526b727b0931c5f8806fb849fd4e65551eaad6db6a,2025-11-06T19:53:11.000Z,0x9c4Ebb54625b1E93E987E287fa832BD2e0a854b7,,997520,,0,0,,,,0xd36F184111225D065884e129566752968c96E26c,0x15700B564Ca08D9439C58cA5053166E8317aa138,345505924,9623828717835333109149
